amount of agents,amount solved,amount failed,time of success
2,17,33,3574.0
3,19,31,10471.0
4,17,33,3204.0
5,17,33,4151.0
6,17,33,3944.0
7,19,31,11318.0
8,17,33,2804.0
9,17,33,3883.0
10,19,31,10547.0
