amount of agents,amount solved,amount failed,time of success
2,22,28,3285
3,18,32,8364
4,12,38,3454
5,15,35,5934
6,19,31,11848
7,20,30,8912
8,15,35,1351
9,12,38,7286
10,13,37,8693
